Date,Open,High,Low,Close,Adj Close,Volume
2017-02-03,361.666656,400.000000,355.033325,356.399994,276.370483,47315286
2017-02-06,360.333344,362.600006,341.033325,343.066681,266.031158,6598800
2017-02-07,343.333344,345.316681,333.766663,335.600006,260.241180,3882438
2017-02-08,337.666656,344.950012,332.899994,340.866669,264.325226,3561348
2017-02-09,341.666656,342.899994,335.716675,336.683319,261.081238,1400052
2017-02-10,338.266663,341.333344,334.333344,335.000000,259.775909,1262607
2017-02-13,336.333344,336.816681,332.833344,333.933319,258.948761,1511583
2017-02-14,334.966675,339.666656,332.666656,334.666656,259.517426,1538679
2017-02-15,334.000000,336.633331,325.899994,327.233337,253.753250,1333395
2017-02-16,327.666656,329.066681,320.333344,321.299988,249.152222,1170528
2017-02-17,323.666656,326.000000,321.333344,322.399994,250.005188,760695
2017-02-20,322.399994,325.466675,321.033325,323.716675,251.026215,598827
2017-02-21,325.000000,331.633331,323.899994,328.083344,254.412415,1001841
2017-02-22,327.333344,328.883331,323.766663,324.750000,253.113358,408222
2017-02-23,324.933319,325.583344,321.666656,321.966675,250.943970,360225
2017-02-27,320.666656,322.916656,317.466675,318.033325,247.878311,620754
2017-02-28,318.350006,321.633331,314.000000,315.649994,246.020676,634656
2017-03-01,315.000000,318.000000,310.666656,311.366669,242.682266,728583
2017-03-02,312.866669,314.166656,305.000000,305.733337,238.291534,899457
2017-03-03,305.000000,305.633331,295.500000,296.899994,231.406769,2516490
2017-03-06,296.666656,318.250000,296.666656,315.733337,246.085678,3721275
2017-03-07,318.000000,321.600006,312.033325,312.899994,243.877319,1410528
2017-03-08,313.299988,314.500000,306.983337,307.950012,240.019257,579231
2017-03-09,307.950012,320.333344,305.783325,314.983337,245.501083,2215683
2017-03-10,316.666656,318.299988,310.866669,312.200012,243.331726,581853
2017-03-14,318.333344,320.000000,313.333344,314.983337,245.501083,681813
2017-03-15,315.450012,320.549988,313.366669,315.116669,245.604996,872238
2017-03-16,316.649994,317.433319,314.333344,315.083344,245.579041,382401
2017-03-17,315.399994,319.533325,313.799988,314.633331,245.228317,943929
2017-03-20,316.666656,316.666656,311.666656,312.783325,243.786392,348168
2017-03-21,313.799988,315.666656,312.000000,312.933319,243.903259,633309
2017-03-22,313.333344,313.333344,310.333344,311.466675,242.760178,380574
2017-03-23,312.733337,314.066681,310.916656,312.533325,243.591568,392298
2017-03-24,313.200012,317.766663,312.000000,315.016663,245.527069,911808
2017-03-27,315.216675,316.000000,311.383331,311.916656,243.110931,394650
2017-03-28,312.966675,314.649994,312.066681,313.083344,244.020203,276681
2017-03-29,313.216675,324.000000,312.333344,317.116669,247.163803,1497897
2017-03-30,319.350006,323.683319,318.350006,322.233337,251.151810,873000
2017-03-31,322.600006,327.000000,321.683319,325.883331,253.996643,830304
2017-04-03,328.000000,329.233337,325.033325,325.816681,253.944687,388749
2017-04-05,328.600006,330.333344,326.000000,326.466675,254.451279,464571
2017-04-06,326.666656,326.966675,322.700012,323.600006,252.217041,214923
2017-04-07,323.333344,334.799988,322.000000,330.649994,257.711853,775590
2017-04-10,331.666656,344.983337,331.666656,343.366669,267.623383,1598616
2017-04-11,345.000000,350.333344,339.350006,347.883331,271.143646,1029114
2017-04-12,348.666656,351.600006,341.700012,349.233337,272.195862,840570
2017-04-13,346.666656,350.000000,342.000000,343.200012,267.493469,423201
2017-04-17,341.666656,342.983337,336.000000,337.149994,262.778046,438114
2017-04-18,339.666656,339.666656,332.116669,332.583344,259.218658,304371
2017-04-19,334.666656,338.000000,329.333344,333.433319,259.881195,389067
2017-04-20,335.233337,339.200012,333.366669,336.966675,262.635162,266802
2017-04-21,337.066681,339.216675,334.350006,336.799988,262.505219,270933
2017-04-24,337.000000,338.350006,335.216675,336.583344,262.336334,573987
2017-04-25,337.333344,338.100006,333.350006,335.066681,261.154327,273552
2017-04-26,336.666656,339.000000,334.500000,336.516663,262.284363,381597
2017-04-27,336.666656,337.333344,335.149994,335.933319,261.829712,174531
2017-04-28,337.000000,338.333344,332.283325,334.816681,260.959412,180780
2017-05-02,335.266663,340.666656,334.000000,334.750000,260.907410,319686
2017-05-03,335.366669,336.500000,332.666656,334.250000,260.517731,256962
2017-05-04,334.666656,336.666656,332.666656,333.716675,260.102081,209205
2017-05-05,335.333344,336.750000,330.000000,331.700012,258.530243,924774
2017-05-08,334.000000,337.983337,334.000000,335.433319,261.440063,570552
2017-05-09,336.333344,336.333344,330.416656,331.566681,258.426300,162804
2017-05-10,335.333344,336.299988,331.666656,332.366669,259.049866,159759
2017-05-11,334.333344,334.583344,332.333344,333.316681,259.790253,540183
2017-05-12,333.500000,334.933319,326.000000,327.266663,255.074814,359130
2017-05-15,328.399994,333.899994,328.399994,332.666656,259.283661,193620
2017-05-16,334.066681,363.133331,334.016663,352.983337,275.118683,3478038
2017-05-17,353.266663,361.500000,352.500000,357.133331,278.353241,948864
2017-05-18,353.866669,362.666656,350.333344,360.200012,280.743469,925086
2017-05-19,361.666656,366.633331,353.666656,357.766663,278.846771,550878
2017-05-22,359.666656,361.000000,355.333344,355.683319,277.223083,242208
2017-05-23,355.000000,358.000000,343.700012,351.683319,274.105469,552240
2017-05-24,352.566681,354.899994,348.583344,351.916656,274.287323,932703
2017-05-25,351.916656,353.666656,345.666656,347.549988,270.883881,385638
2017-05-26,345.833344,353.666656,345.833344,351.416656,273.897583,604314
2017-05-29,350.333344,360.666656,350.000000,355.883331,277.378937,360378
2017-05-30,354.833344,358.316681,351.333344,354.983337,276.677460,179373
2017-05-31,355.000000,366.666656,354.983337,364.466675,284.068939,940320
2017-06-01,365.083344,368.416656,360.416656,363.366669,283.211548,346197
2017-06-02,363.333344,371.333344,361.666656,369.049988,287.641144,632751
2017-06-05,369.833344,378.333344,369.333344,377.183319,293.980408,573195
2017-06-06,376.666656,378.283325,367.216675,368.116669,286.913727,205374
2017-06-07,369.000000,371.666656,365.000000,367.149994,286.160309,161073
2017-06-08,368.283325,369.666656,362.116669,364.000000,283.705139,172536
2017-06-09,364.000000,377.333344,360.666656,372.899994,290.641937,876051
2017-06-12,372.649994,378.100006,367.000000,370.133331,288.485504,311877
2017-06-13,370.000000,374.966675,365.000000,366.133331,285.367889,203253
2017-06-14,369.466675,371.666656,363.500000,364.766663,284.302704,177078
2017-06-15,363.700012,368.133331,360.366669,361.049988,281.405945,208044
2017-06-16,362.666656,363.833344,357.000000,358.466675,279.392456,221349
2017-06-19,360.033325,372.633331,360.033325,370.000000,288.381622,524730
2017-06-20,371.566681,373.066681,366.333344,367.116669,286.134369,206199
2017-06-21,368.416656,370.966675,367.000000,368.049988,286.861694,155475
2017-06-22,371.899994,372.666656,363.066681,363.683319,283.458344,318300
2017-06-23,365.100006,365.616669,353.683319,355.000000,276.690491,227583
2017-06-27,353.333344,355.000000,348.333344,349.433319,272.351715,156330
2017-06-28,349.333344,360.166656,346.666656,358.016663,279.041748,221547
2017-06-29,361.350006,368.083344,360.166656,366.233337,285.445862,308382
2017-06-30,368.000000,370.000000,357.000000,357.850006,278.911804,849042
2017-07-03,358.299988,359.933319,354.683319,357.649994,278.755951,172182
2017-07-04,358.333344,359.450012,354.383331,355.500000,277.080170,101838
2017-07-05,356.000000,356.649994,351.500000,354.533325,276.326721,171312
2017-07-06,354.533325,358.333344,352.566681,353.516663,275.534363,160602
2017-07-07,353.000000,376.000000,350.683319,355.633331,277.184113,1990083
2017-07-10,362.333344,368.666656,360.000000,361.700012,281.912537,290181
2017-07-11,365.666656,374.899994,362.700012,365.683319,285.017120,1155336
2017-07-12,370.350006,372.333344,362.216675,366.983337,286.030396,697272
2017-07-13,368.366669,377.350006,365.033325,370.633331,288.875244,2095554
2017-07-14,373.316681,392.783325,369.366669,373.566681,291.161530,3839385
2017-07-17,374.333344,376.316681,366.666656,367.350006,286.316254,463710
2017-07-18,367.633331,367.633331,360.666656,361.866669,282.042419,309123
2017-07-19,364.100006,373.333344,361.666656,366.183319,285.406860,593646
2017-07-20,363.733337,368.683319,361.833344,363.066681,282.977722,174504
2017-07-21,365.166656,366.299988,358.333344,361.350006,281.639740,271416
2017-07-24,362.566681,365.850006,360.766663,361.899994,282.068390,147561
2017-07-25,362.783325,364.316681,360.000000,361.466675,281.730682,139062
2017-07-26,361.666656,367.666656,360.016663,365.483337,284.861267,200724
2017-07-27,366.633331,366.633331,360.666656,361.933319,282.094360,201255
2017-07-28,360.750000,369.000000,358.700012,361.316681,281.613739,279711
2017-07-31,361.666656,364.666656,360.316681,361.233337,281.548828,130875
2017-08-01,361.283325,365.333344,360.016663,361.166656,281.496826,110643
2017-08-02,361.333344,362.966675,351.683319,355.733337,277.262085,258096
2017-08-03,356.666656,366.666656,354.000000,356.533325,277.885559,907485
2017-08-04,359.666656,363.000000,355.333344,357.133331,278.353241,248760
2017-08-07,358.833344,365.000000,355.666656,361.783325,281.977448,393819
2017-08-08,358.666656,362.666656,355.000000,355.483337,277.067169,141855
2017-08-09,355.333344,355.333344,348.333344,349.733337,272.585632,156759
2017-08-10,349.733337,349.733337,335.000000,337.566681,263.102783,313254
2017-08-11,331.666656,338.333344,330.333344,332.366669,259.049866,485646
2017-08-14,334.000000,339.299988,331.933319,332.516663,259.166748,200181
2017-08-16,334.666656,338.666656,333.083344,337.483337,263.037842,232515
2017-08-17,338.299988,342.666656,335.666656,337.216675,262.829956,222816
2017-08-18,337.333344,337.333344,330.083344,332.966675,259.517517,205047
2017-08-21,335.000000,344.466675,333.700012,335.633331,261.595947,235680
2017-08-22,336.000000,339.266663,334.333344,334.866669,260.998383,121911
2017-08-23,335.333344,336.316681,333.666656,334.933319,261.050323,134739
2017-08-24,330.333344,335.000000,330.299988,332.700012,265.384308,136479
2017-08-28,333.666656,334.633331,328.000000,328.350006,261.914429,183054
2017-08-29,328.633331,331.666656,326.266663,326.566681,260.491943,133794
2017-08-30,328.700012,330.333344,325.783325,326.683319,260.585052,150072
2017-08-31,327.183319,328.250000,323.666656,324.433319,258.790222,267186
2017-09-01,325.233337,329.566681,324.000000,325.633331,259.747498,211845
2017-09-04,326.000000,328.000000,323.016663,324.649994,258.963104,415503
2017-09-05,326.299988,328.916656,324.049988,324.966675,259.215759,214578
2017-09-06,323.333344,327.933319,323.000000,323.500000,258.045807,265704
2017-09-07,325.566681,334.666656,325.000000,333.600006,266.102234,606105
2017-09-08,335.000000,336.000000,328.450012,331.733337,264.613190,237954
2017-09-11,334.666656,343.216675,333.000000,340.883331,271.911896,451338
2017-09-12,341.316681,344.600006,338.333344,341.216675,272.177856,221190
2017-09-13,340.000000,345.000000,338.666656,339.833344,271.074341,258432
2017-09-14,340.033325,343.966675,336.666656,343.450012,273.959320,206691
2017-09-15,341.666656,341.666656,338.333344,339.566681,270.861664,117861
2017-09-18,341.666656,343.333344,338.399994,339.350006,270.688812,128328
2017-09-19,339.350006,343.333344,337.350006,339.583344,270.875000,116703
2017-09-20,339.583344,346.333344,338.333344,339.183319,270.555908,234309
2017-09-21,339.333344,342.933319,337.333344,338.299988,269.851288,124311
2017-09-22,335.333344,337.666656,333.000000,333.383331,265.929413,137019
2017-09-25,333.333344,333.666656,323.450012,326.299988,260.279205,246168
2017-09-26,327.333344,329.399994,325.299988,326.049988,260.079865,135591
2017-09-27,328.000000,329.000000,324.583344,325.633331,259.747498,91740
2017-09-28,326.666656,329.000000,324.000000,327.783325,261.462463,85839
2017-09-29,328.333344,328.666656,324.333344,325.450012,259.601227,130479
2017-10-03,327.466675,329.666656,326.666656,328.700012,262.193634,74853
2017-10-04,329.333344,331.000000,326.666656,328.183319,261.781464,75669
2017-10-05,328.200012,330.000000,325.850006,328.433319,261.980927,102912
2017-10-06,330.000000,330.000000,323.666656,326.049988,260.079865,150051
2017-10-09,326.649994,329.133331,326.649994,328.133331,261.741669,76809
2017-10-10,329.666656,335.933319,327.000000,331.733337,264.613190,253251
2017-10-11,333.333344,334.316681,326.299988,328.600006,262.113922,146484
2017-10-12,328.600006,329.983337,326.000000,326.850006,260.718018,130053
2017-10-13,327.333344,328.966675,325.333344,325.799988,259.880402,136515
2017-10-16,326.666656,328.333344,323.850006,324.816681,259.096100,123018
2017-10-17,325.000000,326.450012,323.000000,324.200012,258.604187,1093017
2017-10-18,324.200012,325.166656,321.333344,321.700012,256.610016,205605
2017-10-19,324.700012,325.000000,323.333344,324.216675,258.617462,38100
2017-10-23,325.000000,325.000000,322.500000,322.966675,257.620422,78735
2017-10-24,323.333344,325.383331,323.100006,323.983337,258.431305,134952
2017-10-25,325.000000,328.333344,324.333344,325.516663,259.654388,159549
2017-10-26,325.983337,330.583344,325.500000,329.700012,262.991333,191064
2017-10-27,330.333344,332.666656,328.450012,329.966675,263.204041,141294
2017-10-30,330.000000,331.299988,327.966675,328.450012,261.994232,123417
2017-10-31,329.000000,333.000000,327.549988,330.149994,263.350281,147882
2017-11-01,330.333344,332.616669,328.450012,329.083344,262.499390,181749
2017-11-02,329.000000,330.666656,327.000000,328.149994,261.754974,132054
2017-11-03,328.333344,330.333344,327.416656,328.183319,261.781464,151233
2017-11-06,332.666656,333.333344,326.716675,329.716675,263.004608,181698
2017-11-07,329.966675,331.000000,327.333344,329.083344,262.499390,192594
2017-11-08,329.333344,331.666656,326.049988,326.500000,260.438751,169935
2017-11-09,326.666656,327.950012,324.116669,325.700012,259.800659,130398
2017-11-10,323.833344,325.666656,323.783325,324.350006,258.723785,93507
2017-11-13,324.666656,328.000000,322.666656,326.016663,260.053223,104418
2017-11-14,326.100006,329.049988,323.333344,324.183319,258.590820,106011
2017-11-15,324.000000,324.000000,321.750000,322.399994,257.168304,119115
2017-11-16,323.333344,325.633331,322.149994,322.549988,257.287964,101511
2017-11-17,324.666656,325.000000,320.333344,320.766663,255.865524,179613
2017-11-20,322.649994,322.649994,320.166656,320.549988,255.692642,123525
2017-11-21,321.950012,321.950012,316.333344,317.000000,252.860916,222180
2017-11-22,317.000000,320.000000,315.883331,316.416656,252.395569,169989
2017-11-23,318.566681,318.566681,315.950012,316.316681,252.315872,146214
2017-11-24,316.666656,318.333344,313.683319,314.466675,250.840210,226515
2017-11-27,315.333344,316.616669,313.000000,313.450012,250.029236,161802
2017-11-28,313.350006,315.333344,312.333344,312.600006,249.351151,196170
2017-11-29,313.500000,314.899994,310.000000,310.299988,247.516556,223305
2017-11-30,310.000000,311.783325,308.733337,309.366669,246.772095,233871
2017-12-01,311.000000,311.633331,309.350006,309.950012,247.237350,154194
2017-12-04,310.333344,312.000000,309.000000,309.983337,247.263977,122643
2017-12-05,310.983337,311.333344,305.350006,307.316681,245.136841,209007
2017-12-06,306.666656,307.000000,304.000000,304.616669,242.983124,98073
2017-12-07,305.950012,310.000000,305.083344,307.399994,245.203293,175956
2017-12-08,309.000000,309.000000,305.200012,305.533325,243.714310,181665
2017-12-11,307.500000,307.500000,301.333344,301.799988,240.736389,344742
2017-12-12,303.316681,305.416656,301.133331,301.799988,240.736389,168561
2017-12-13,300.666656,304.000000,300.666656,301.233337,240.284348,105057
2017-12-14,303.033325,303.033325,299.366669,299.866669,239.194168,176898
2017-12-15,300.016663,300.600006,299.666656,299.916656,239.234085,278961
2017-12-18,300.366669,300.783325,295.350006,299.716675,239.074570,190647
2017-12-19,300.666656,300.933319,297.833344,298.066681,237.758408,209067
2017-12-20,298.333344,298.333344,296.000000,296.916656,236.841064,248421
2017-12-21,297.000000,305.149994,296.916656,301.166656,240.231155,503250
2017-12-22,303.316681,304.316681,301.000000,301.399994,240.417297,464556
2017-12-26,302.000000,303.783325,300.399994,302.483337,241.281433,308142
2017-12-27,303.149994,305.933319,300.533325,303.649994,242.212006,423192
2017-12-28,304.433319,316.333344,300.666656,308.350006,245.961090,1206228
2017-12-29,317.666656,320.500000,297.433319,303.149994,241.813187,6191451
2018-01-01,305.666656,311.649994,305.366669,310.316681,247.529861,769065
2018-01-02,312.933319,314.966675,309.666656,313.333344,249.936157,1058709
2018-01-03,315.333344,316.000000,309.866669,312.133331,248.978973,1299708
2018-01-04,312.000000,312.033325,309.933319,310.200012,247.436813,1189005
2018-01-05,311.649994,318.266663,306.733337,315.316681,251.518173,3516006
2018-01-08,321.233337,321.233337,316.183319,318.049988,253.698517,1467765
2018-01-09,318.049988,318.666656,314.016663,315.166656,251.398529,912006
2018-01-10,314.333344,317.316681,312.933319,314.200012,250.627487,684936
2018-01-11,315.649994,315.666656,312.666656,313.500000,250.069061,735897
2018-01-12,314.000000,323.916656,312.333344,320.649994,255.772415,2755983
2018-01-15,323.783325,328.299988,321.666656,327.066681,260.890808,2472129
2018-01-16,313.333344,319.266663,310.333344,313.216675,249.843094,4188279
2018-01-17,315.266663,316.049988,310.250000,311.616669,248.566803,887430
2018-01-18,314.983337,314.983337,306.733337,307.166656,245.017197,611505
2018-01-19,307.216675,309.549988,302.350006,303.200012,241.853119,735321
2018-01-22,304.333344,306.649994,303.666656,305.116669,243.381973,341106
2018-01-23,306.333344,308.000000,303.666656,305.066681,243.342148,464781
2018-01-24,305.333344,306.333344,302.666656,303.733337,242.278564,344517
2018-01-25,306.000000,306.000000,303.333344,304.566681,242.943268,281721
2018-01-29,304.816681,306.000000,299.666656,301.016663,240.111572,645324
